,Image source,Agent name,Agent role,Agent 2 name,Agent 2 role,Agent 1 culturalContext,Agent 2 culturalContext,Date earliestDate,Date latestDate,Average Date,Date Given,Period,Description,Description source,Location,Location name,Material,Rights,Source,Style Period,"Subject personalName, conceptTopic (book), descriptiveTopic, iconographicTopic (scene)",Scene,Scene Two,Book ,Technique,Work Type,TEXTREF name,TITLE,TITLE  xml:lang,TITLE2,TITLE  xml:lang 2,Direct Link
i_1000.jpg,Kunsthistorisches Institut in Florenz,"Ademollo, Luigi",artist,,,Italian,,,,1816,1816,19th century,Aeneas Leaves Behind Some Trojans Under The Protection Of The Acestes,Europeana,Kunsthistorisches Institut in Florenz,Italy,,CC BY-NC-SA 4.0,Europeana API,,"Aeneas, Acestes, Trojans",96B442 Aeneas leaves some of the Trojans under the protection of Acestes,,Book V,fresco,mural painting,,Scenes From The Aeneid,en,Scene dall'Eneide,it,
i_1001.jpg,Kunsthistorisches Institut in Florenz,"Ademollo, Luigi",artist,,,Italian,,,,1816,1816,19th century,Aeneas leaves Sicily,Europeana,Kunsthistorisches Institut in Florenz,Italy,,CC BY-NC-SA 4.0,Europeana API,,"Aeneas, Trojans",96B44 Aeneas' departure from Sicily,,Book V,fresco,mural painting,,Scenes From the Aeneid: Aeneas leaves Sicily,en,Scene dall'Eneide: Enea lascia la Sicilia,it,
i_1002.jpg,Museum Plantin-Moretus,"Aerts, Jean François",engraver,,,Flemish,,,,1745,1745,18th century,Set of eleven coins with allegorical representations. Coin #5 depicts Aeneas saving father and son,,Museum Plantin-Moretus,Belgium,copper,CC BY 4.0,Europeana API,,"Aeneas, Anchises, Ascanius","96B113 'Pius Aeneas': Aeneas, leading Ascanius, escapes from burning Troy, carrying his father Anchises",,Book II,copper engraving,print,,Allegorical Representations Of The Virtues,en,Allegorische voorstellingen van de deugden,nl,
i_1003.jpg,Fitzwilliam Museum,"Agricola, Luigi",artist,,,Italian,,,,1750,1750,18th century,"Artist: Agricola, Luigi, painter - Italian painter, b. ca.1750; Classification(s): painting, painting, painting (image-making), oil on canvas; Acquisition: bequeathed by Pollock, Warren, 1992, Bequeathed 1986. [PD.36-1992] Description: A bozzetto for a ceiling in the Galleria Doria Pamphili, Rome.",Europeana,Fitzwilliam Museum,United Kingdom,oil on canvas,CC BY-NC-ND 3.0,Europeana API,Neoclassical,"Aeneas, Venus",96B661 Venus hands over the armour to Aeneas,,Book VIII,painting,painting,,Venus Giving Arms To Aeneas,en,,,
i_1004.jpg,Bildarchiv Foto Marburg,"Amigoni, Jacopo",artist,,,Italian,,1721,1722,1722,1721-1722,18th century,,,Schleissheim Palace,Germany,fresco painting,Fair Use,Europeana API,Rococo,"Aeneas, Turnus",96B8344 Turnus is killed by Aeneas,,Book XII,ceiling painting,ceiling painting,,Aeneas In The Fight Against King Turnus,en,Aeneas im Kampf gegen König Turnus,de,https://www.bildindex.de/document/obj20186302
i_1005.jpg,Bildarchiv Foto Marburg,"Asam, Cosmas Damian",artist,,,German,,,,1721,1721,18th century,,,Schleissheim Palace,Germany,,Fair Use,Europeana API,Baroque,"Venus, Vulcan",96B66 Venus asks Vulcan to forge Aeneas' armour,,Book VIII,ceiling painting,ceiling painting,,Venus at the Forge of Vulcan,en,Venus In Der Schmiede Des Vulkan,de,https://www.bildindex.de/document/obj20737981
i_1006.jpg,The Wellcome Library,"Audran, Gérard",artist,,,French,,1640,1703,1672,1640-1703,17th century,Lettering: Aenée sauuant son Pere de l'embrazement de Troye. Aeneas Patrem ab incendio Trojano eripiens. G. Audran sculp.,Europeana,The Wellcome Library,United Kingdom,,CC BY 4.0,Europeana API,Baroque,"Aeneas, Anchises, Ascanius, Creusa, Penates","96B113 'Pius Aeneas': Aeneas, leading Ascanius, escapes from burning Troy, carrying his father Anchises with the Penates; his wife Creusa, who sets out with them, is lost on the way",,Book II,engraving,print,,"Aeneas is standing with his father Anchises on his shoulders as he rescues him from the fire of Troy, and he receives the household gods from his wife, Creusa",en,,,
i_1007.jpg,Nationalmuseum,"Audran, Claude, II",artist,,,French,,,,1677,1677,17th century,"Location: France Other: Venus orders Aeneas weapons in Vulcanus forge. May be a preliminary study of a painting in the Narbonne museum, possibly the tribute of a cheminée that Audran performed for Versailles salle des bains 1677. Inscription: ""a envoyer a …""  Påskrift: a envoyer a [bortskuret] [verso]",Europeana,Nationalmuseum,Sweden,,CC BY-SA 3.0,Europeana API,,"Venus, Vulcan",96B66 Venus asks Vulcan to forge Aeneas' armour,,Book VIII,drawing,drawing,,Venus At The Forge Of Vulcan,en,Venus i Vulcanus smedj,sv,http://collection.nationalmuseum.se/eMP/eMuseumPlus?service=ExternalInterface&module=collection&objectId=66775&viewType=detailView
i_1008.jpg,"INP - National Heritage Institute, Bucharest","Balestra, Antonio",artist,,,Italian,,1700,1740,1720,1700-1740,18th century,"overall description: The scene of the encounter between Venus in a hunting costume and Eneas and Achates, young in military clothing with feathers on the left side of the composition. Venus is on the right-hand side, in draped cloths in vaporous folds. Above the three characters are two amoros, playing with a dove. The characters are in the landscape, and in the background clouds.",Europeana,INP - National Heritage Institute,Romania,painting,Public Domain Mark 1.0,Europeana API,Rococo,"Venus, Aeneas, Achates","96B24 the meeting of Aeneas and Dido; when he approaches her throne, the cloud enveloping him and Achates vanishes",,Book II,painting,painting,,Aeneas And Achates Meet Venus In A Hunting Wear,en,Eneas și Acates întâlnind pe Venus în costum de vânătoare (vechiul titlu: Atalanta și pețitorii),ro,
i_1009.jpg,Rijksmuseum,"Baltens, Peeter",artist,,,Flemish,,1540,1584,1562,1540-1584,16th century,"Various scenes that depict the love of children for their parents, or the absence of it, are combined in a performance. Bottom right the story of Cimon and Pero, in the middle a man who makes a crib for his father, and is pointedly pointed out by his son, on the left a young couple who sends an old man off the table, on the roof a bird feeding his boy , in the background Aeneas who saves his father from the burning Troy. With explanation in Dutch.",Europeana,Rijksmuseum,Netherlands,,Public Domain Mark 1.0,Europeana API,Renaissance,"Aeneas, Anchises, Ascanius","96B113 'Pius Aeneas': Aeneas, leading Ascanius, escapes from burning Troy, carrying his father Anchises",,Book II,engraving,print,,Allegories On The Love Of Children For Their Parents,en,Allegorieën op de liefde van kinderen voor hun ouders,nl,
i_1010.jpg,Royal Institute for Cultural Heritage (KIK-IRPA),"Barocci, Federico",artist,,,Italian,,,,1526,1526,16th century,,,Royal Institute for Cultural Heritage (KIK-IRPA),Belgium,,CC BY-NC-SA 3.0,Europeana API,,"Aeneas, Anchises","96B113 'Pius Aeneas': Aeneas, escapes from burning Troy, carrying his father Anchises",,Book II,drawing,drawing,,Copy of: Aeneas Carries His Father Anchises,en,Aeneas draagt zijn vader Anchises,nl,
i_1011.jpg,Teylers Museum,"Bartolozzi, Francesco",engraver,,,Italian,,1750,1815,1783,1750-1815,18th century,,,Teylers Museum,Netherlands,aquatint,CC BY-NC 3.0 NL,Europeana API,,"Venus, Vulcan, Cupid",96B66 Venus asks Vulcan to forge Aeneas' armour,,Book VIII,engraving,print,,Venus Arranges Weapons For Aeneas From Vulcan,en,Venus regelt wapens voor Aeneas bij Vulcanus,nl,
i_1012.jpg,"Kupferstichkabinett, Staatliche Museen zu Berlin","Batoni, Pompeo",artist,,,Italian,,,,1748,1748,18th century,black pen on light blue primed paper,Europeana,"Kupferstichkabinett, Staatliche Museen zu Berlin",Germany,,CC BY-NC-SA 3.0,Europeana API,,"Aeneas, Anchises","96B113 'Pius Aeneas': Aeneas, escapes from burning Troy, carrying his father Anchises",,Book II,drawing,drawing,,Study on the group of Aeneas and Anchises,en,Studie zur Gruppe von Aeneas und Anchises,de,
i_1013.jpg,Albertina,"Batoni, Pompeo",artist,,,Italian,,1718,1787,1753,1718-1787,18th century,"The Cumaean sibyl shows Aeneas the way to the underworld. She holds in her left the magical golden branch which Aeneas had to pluck before her descent (Vergil, Aeneid VI, especially 140f and 207-210)",Europeana,Albertina,Austria,,Fair Use,Europeana API,,"Aeneas, Cumaean sibyl, Golden Bough",96B54 Aeneas' visit to the underworld,,Book VI,drawing,drawing,,The Cumaean sibyl shows Aeneas the way to the underworld. She holds in her left the magical golden branch which Aeneas had to pluck before her descent.,en,"Die Cumäische Sibylle weist Aeneas den Weg in die Unterwelt. Sie hält in ihrer Linken den magischen goldenen Zweig, den Aeneas vor seinem Abstieg auf ihr Geheiß pflücken mußte",de,http://sammlungenonline.albertina.at/?query=Inventarnummer=[1343]&showtype=record
i_1014.jpg,Teylers Museum,"Beauvais	Nicolas-Dauphin de",engraver,"Coypel, Antoine",painter,French,,1710,1763,1737,1710-1763,18th century,,,Teylers Museum,Netherlands,,CC BY-NC 3.0 NL,Europeana API,Baroque,"classical reception, ship, nereids",96B9 scenes from the Aeneid that cannot be located in the chronological sequence of the story,,,engraving,print,,The metamorphoses of the ship of Aeneas into Nereids,en,De metamorfose van het schip van Aeneas in Nereïden,nl,
i_1015.jpg,Albertina,"Bertoli, Antonio Daniele",artist,,,Italian,,,,1837,1837,19th century,,,Albertina,Austria,,Fair Use,Europeana API,,"Juno, Aeolus","92C152 Juno asks Aeolus to set the winds free (Virgil, Aeneid I 50-86)",,Book I,drawing,drawing,,Juno asks Aeolus for wind against the fleet of Aeneas,en,Juno bittet Aeolus um Wind gegen die Flotte des Aeneas,de,http://sammlungenonline.albertina.at/?query=Inventarnummer=[1837]&showtype=record
i_1016.jpg,Albertina,"Bibiena, Giuseppe Galli",artist,,,Italian,,1696,1757,1727,1696-1757,18th century,,,Albertina,Austria,,Fair Use,Europeana API,,"Aeneas, Dido, Carthage",96B24 the meeting of Aeneas and Dido,,Book I,drawing,drawing,,Magnificent buildings in a harbor where Dido greets the arriving Aeneas,en,"Prachtvolle Bauten an einem Hafen, an dem Dido den ankommenden Aeneas begrüßt",de,http://sammlungenonline.albertina.at/?query=Inventarnummer=[14401]&showtype=record
i_1017.jpg,Albertina,"Bibiena, Giuseppe Galli",artist,,,Italian,,1696,1757,1727,1696-1757,18th century,,,Albertina,Austria,,Fair Use,Europeana API,,"Aeneas, Dido, Carthage",96B241 Dido leads Aeneas and his companions to her palace,,Book I,drawing,drawing,,Dido receives Aeneas in the vestibule of a palace,en,Dido empfängt Aeneas im Vestibül eines Palais,de,http://sammlungenonline.albertina.at/?query=Inventarnummer=[14400]&showtype=record
i_1018.jpg,Mythologica Arts,"Blondel, Merry Joseph",artist,,,French,,,,1803,1803,19th century,,,,,painting,Fair Use,,,"Aeneas, Anchises, Ascanius, Penates","96B113 'Pius Aeneas': Aeneas, leading Ascanius, escapes from burning Troy, carrying his father Anchises with the Penates",,Book II,painting,painting,,Aeneas Carrying Anchises,en,,,http://arts.mythologica.fr/artist-b/blondel.htm
i_1019.jpg,Teylers Museum,"Bolswert, Schelte",engraver,"Rubens, Peter Paul",painter,Dutch,,1600,1659,1630,1600-1659,17th century,,,Teylers Museum,Netherlands,,CC BY-NC 3.0 NL,Europeana API,,"Trojans, Carthage",96B21 Aeneas' fleet cast on the coast of Libya,,Book II,engraving,print,,Aeneas suffers a shipwreck,en,Aeneas lijdt schipbruik,nl,
i_1020.png,Hunterian Museum,"Bonasone, Giulio",engraver,Perino del Vaga,painter,Italian,,1498,1580,1539,1498-1580,16th century,"It illustrates the famous opening passage of Virgil's Aeneid 1, in when the Sea God Neptune intervenes to prevent the destruction in a storm of Aeneas's fleet. The figure of Neptune on his chariot is taken from Marcantonio's celebrated ""Quos Ego"" engraving after Raphael. Rubens apparently copied this engraving (Scottish National Gallery, (RSA 1). The image is based on the now destroyed vault painting by Perino del Vaga in Genova in the Palazzo Doria. There is a finished drawing in the Louvre.",Hunterian Museum,Hunterian Museum,United Kingdom,,Fair Use,Europeana API,,"Neptune, Quos Ego, Trojans","92H1411 Neptune quieting the storm, 'quos ego' (Virgil, Aeneid I 135)",,Book I,engraving,print,,Neptune Calming the Tempest which Aeolus Raised against Aeneas' Fleet,en,,,
i_1021.jpg,Museum Plantin-Moretus,"Borcht, Pieter van der, I",artist,,,Flemish,,,,1591,1591,16th century,"De zinkende schepen worden door Cybele verandert in waternimfen; Uit het prentenboek: 'P. Ovidii Nasonis Metamorphoses', pagina 341. English: The sinking ships are turned into water nymphs by Cybele; From the picture book: 'P. Ovidii Nasonis Metamorphoses', page 341",Museum Plantin-Moretus,Museum Plantin-Moretus,Belgium,,CC BY 4.0,Europeana API,Renaissance,"classical reception, ship, nereids",96B9 scenes from the Aeneid that cannot be located in the chronological sequence of the story,,,engraving,print,,The ships of Aeneas change into water nymphs,en,De schepen van Aeneas veranderen in waternimfen,nl,
i_1022.jpg,Museum Plantin-Moretus,"Borcht, Pieter van der, I",artist,,,Flemish,,,,1591,1591,16th century,"""Uit het prentenboek: 'P. Ovidii Nasonis Metamorphoses', pagina 323.
Technique: geëtst (drukprocédé)"" English: From the picture book: 'P. Ovidii Nasonis Metamorphoses', page 323. Technique: etched (printing process)",Museum Plantin-Moretus,Museum Plantin-Moretus,Belgium,,CC BY 4.0,Europeana API,Renaissance,"Aeneas, Anchises, Ascanius","96B113 'Pius Aeneas': Aeneas, leading Ascanius, escapes from burning Troy, carrying his father Anchises",,Book II,engraving,print,,Aeneas Carries His Father Away From The Burning Troy,en,Aeneas Draagt Zijn Vader Weg Uit Het Brandende Troje,nl,
